9SIA9F94KY3819,2YM-000N-00063,11/24/2016 4:23:38 AM,Anonymous,Feels like good quality,5, the plastic is thick and doesn't kink easily. I'll post more info after I build the loop and it's been running for a couple of months., none so far., bought way more then I needed.,None,None
N82E16835181103,35-181-103,2/20/2017 12:20:20 PM,Anonymous,Chilly Chilly.,4," Quick Review:+Dropped temps from 62C idle to 31C.+Braided sturdy tubes.+Quiet, I didn't think it was on at first.The ReviewSo it has been a while since a built my first computer. Full ATX tower with about seven fans installed total. My friend recommended I skip out on a cooler for my CPU and just the stock cooler for my i7-4790K. He said the case fans would provide enough airflow. I took his advice. Bad idea. I started getting crashes. The CPU was idling at a whooping 62 degrees Celsius (about 143 degrees Fahrenheit.) I could cook an egg on my CPU. After about 6 crashes over the course of a year I finally got fed up and drop the cashola on this H100i v2 cooler. It has since dropped my idle temps down to around 25-31 degrees Celsius (about 77-89 Fahrenheit.) And under load it manages 40-50 Celsius. I paid full price but it was worth saving my computer.The braided tubes are nice and sturdy however that is a pro and a con. Installation was pretty simple so long as you read the directions (You should be doing that for all your parts. Period.) After I had installed it and put everything back together I became very concerned. Why? Because I read reviews about noise level of the fans+radiator. For me though I didn't hear a thing. Just the smooth sound of stable fans.For now, so long as nothing happens because I am still iffy about liquid cooling, I am really satisfied with my purchase.", - Braided Sturdy cables were so sturdy I had to have a friend help while I screwed the plate on the CPU.- LED lights don't work. But that is a non-issue for me so long as it cools., It has been worth it so far. Saved my computer baby from hardship and crashes.,None,None
9SIA6ZP3RA2165,35-181-100,8/8/2016 2:59:10 AM,Alexander C.,Crape stock Fans,2, So far the pump is running just fine and keep my cpu cool, The stock fans are complete garbage.Sounded like a lawn mower was running inside my pc, I would of tried to get a refund but buying  a new set of fans is cheaper than returning this thing.Really unfortunate considering my old pc  with a corsair cooler with a much smaller fan is way quieter.,2,12
N82E16835181103,35-181-103,2/20/2017 11:21:32 AM,Jonathan F.,Seemingly good product hindered by sub-par fans and poor integrated cabling options.,2, The product seems to cool the CPU well under load.," 1.  Maybe I got a bad set of fans, but these are THE WORST I've encountered on the noise front.  It sounds like a blow dryer is running inside the case... and yes, I installed the software to control the fan speed.  Even under the balanced and quiet profiles these fans have an awful clicking noise coming from them.2.  The USB plug for the Corsair Link could be a hindrance on certain boards with large chipset coolers, like my EVGA Z270 FTW K.  There are 2 integrated fan power cables and the Corsair Link USB cable, and boy do these cause a cable management nightmare, and Corsair magically removes these cables from ALL product shots.http://www.corsair.com/en-us/hydro-series-h100i-v2-extreme-performance-liquid-cpu-coolerAll of these cables should plug in from the top of the unit, they should not be routed out the sides.  I realize airflow isn't as important with this type of cooler, but I prefer a clean case and would rather not have a rats nest of excess cables hanging off my $100 cooler.", I would NOT recommend this product to others.I should have done more product research before purchasing.,None,None
9SIA6ZP3RA2165,35-181-100,8/2/2016 4:25:41 PM,Eric S.,extremly noisy and expensive,1, - Keep it cool- Easy software + gives every information that you need but.... (cons)," - The fans are total garbage, if you do some research on Youtube, most youtubers are giving the fans away for a reason, they are noisy and rattle a lot. So when you mount your CPU Cooler with the case ... it's vibrates! And I used over 30 rubber grommets and it still vibrates.- The pump also rattle a little bit , so it is noisy- You cannot do much with the software"," Go with the Noctua NH-D15 which I'm going to purchase when the warranty is over (2 years only)Note : if you don't care about the noise, well this liquid cpu cooler is awesome for you.",1,11
N82E16835181103,35-181-103,2/17/2017 1:53:43 AM,Alberto G.,"Works Great, does heavy duty job for economic price!",5," -- Cools down overclocked 7th Gen Kaby Lake from 75 degrees on stress @ 5.1ghz down to 33 degrees (celcius) in less than a second!-- Easy to hook up (even though my case did not let fans pull air from top down, I still managed to work it in}.-- Quiet, Reliable, just great cooler!-- Would reccommend to a friend"," -- Fans and radiator would not fit in mid-ATX the way I wanted, but still livable!-- Thats it."," I would and have recccomended to friends, and am about to order another one! Great bang for youur buck!",None,None
9SIA6ZP3RA2165,35-181-100,8/2/2016 9:37:21 AM,Anonymous,Good Product but Ended up Returning It,4, The cooler was well built and looks sharp.  I was enable to finish the installation so I am unable to comment on the performance of the cooler.," The unit is quite thick when dealing with the radiator and the fan depth.  Even though I was working within a Corsair 550d case, the top of the case had very little space tolerance in respect to the ATX motherboard mounts.  My issue came when installing the ASRock Fatal1ty Gaming Z170 Gaming K6+ Motherboard.  This motherboard has a rather large heatsink/heatpipe combo up by the RAM slots.  This combined with the low tolerances within the case resulted in a no-fit scenario."," I think the product is great and I am still giving it four stars while also continuing to use my older Corsair H60 in the case.  I believe my failure to get this installed was a research failure on my part.   These are the risks we take when building our own.  Since many of these motherboards lately are included more extravagant heatsink/heatpipes, be sure to research on your own and try to spot these issues ahead of time!",2,4
N82E16835181103,35-181-103,2/16/2017 10:51:31 PM,Anonymous,I love it,5, Keeps my 5.2 oc intel about 29-30 underload and  can get up to 60c when doing 2 hour stress test replaced the fans and it works twice as good and twice as quiet, A little noisy,,None,None
9SIA6ZP3RA2165,35-181-100,8/2/2016 12:28:57 AM,Joshua D.,Great Product! I have used Corsair many times ago,5," Great Product, I have used Corsair since their H50 they made and I can never complain. The H115i has so far been my favorite i recently used the H100i and from that to the H115i very nice 10c temps difference! Great job Corsair! A++", No Cons, Highly recommended and Highly likely to purchase for my other builds! (I build Computers),2,2
N82E16835181103,35-181-103,2/15/2017 9:26:58 PM,BYRON E.,Easy to setup,5, Fit like a glove in my Phanteks Enthoo Pro M Tempered Glass Case," Nothing, perfect.",,None,None
9SIA6ZP3RA2165,35-181-100,7/30/2016 6:20:19 PM,Gerald S.,Great Cooler with Jet engine fans!,4, - Keeps my 4.6ghz i7 6700k nice and cool without issue- Install was easy- Corsair Link allows you to create a custom fan curve- Came in a really nice box," - Fans are EXTREMELY loud, docked an egg for this. I'm not one to care much about noise, but if you crank the fans up they sound like one of those industrial floor fans. Fortunately, the fans never need to run that hard to keep things cool, but it would definitely be worth the investment to get different fans. - 280mm radiator has some overhang on the edges so it is longer than 280mm. Ran into an issue with the mastercase pro 5 fitting the two 140mm fans but not the 280mm radiator. I resolved the issue by buying 1/4in longer screws and the issue was more on my end making sure my case was compatible, but just something to keep in mind. - The cable placement seemed strange to me. The usb link for the corsair link software is on the bottom and so it is hard to hide the cord. The rest of the wiring is currently bound across my RAM because there wasn't much else I could do with it. I'm not an expert by any means with cable management but there didn't seem to be much options."," Overall I'm happy with this cooler. It looks sick and does its job well. I just wish I had listened to the other reviews and gotten different fans. I just assumed people were being dramatic and they couldn't be that loud; I was wrong. However, its an easy enough fix to unmount and remount new fans. Definitely recommend.",3,3
N82E16835181103,35-181-103,2/13/2017 10:30:49 AM,Eric H.,Very easy to set up.,4, Cools the CPU perfectly, The back plate is loose do to the a problem with the lugs. I had to go to an auto parts store and buy wire grommets and use as a spacer so the back plate would be snug against the back side of the mother board, I'm giving it a 4 egg because one of the liquid supply lines broke free from the block 3 weeks after I built the system. The reservoir lost all it's fluid spraying it all over the inside of the case. I'm returning the unit to Corsair for replacement.,0,1
9SIA6ZP3RA2165,35-181-100,7/30/2016 1:57:03 AM,Paul J.,Does the job,3, Sleek designDecent Software, LoudFlimsy back plateInstructions for install are not very clearCooling is not superior to air cooling," I was cooling with a Noctua NH U14S and two fans before installing this unit: the H115i only wins by a small margin for temps... at the cost of noise. For the added noise and cost the H115i isn't really worth it. I ran tests using the thermal tape that comes pre installed, and an aftermarket paste.... neither showed a remarkable difference. The liquid cooler looks great inside the case, much better than the Noctua heatsink, and allows for more RAM to be installed (on the MSI Z97A I could no have four sticks due to the Noctua crowding the slots). Overall I wouldn't recommend this product, unless you desire the aesthetic or spacing advantages. This was my fist liquid cooler, and I'm not really sure what all the hype is about...",1,3
N82E16835181103,35-181-103,2/13/2017 7:00:57 AM,Steven M.,Cools great once you get it set properly,4, Performance is top notch," fans are kinda loud and they rattle a bit. Not sure if I should tighten or loosen. Lose bracket caused issues, modified to make work."," So when I got this thing my CPU was idling at 90c, something was obviously wrong. First one ended up being a bad. 2nd one was better bad still had issues. I searched online and found a user with a similar set up to mine and he got rubber washers to prevent the wiggling of the bracket. I copied exactly what he did and my CPU is idling at 22c right now. Of course I put some Arctic Silver on there. Using i7-6700k and Asus VIII Hero MB. I hope this helps anyone that encounters this very serious and frustrating issue.",1,1
9SIA6ZP3RA2165,35-181-100,7/27/2016 6:02:35 PM,Adam L.,Below expectations,1," - Fans look quality build, worth buying on their own"," - Manual doesn't say anything about the SATA cable, but I'm assuming it's for the power.- Fan cable; first port has 3/4 pins, second port has 4/4 pins, both fans are 4 pined. Why does the second port not have a 4th pin?- Manual doesn't say ""back board will be loose; tightens when top plate is added"", learned that from the comments- Page says the height is 26mm, I measured 30mm. 4mm CAN NOT be simply written off as ""calibration error""- Radiator housing is 30mm, ACTUAL radiator is 16mm. Nearly HALF the space is literally wasted space. The screw holes are over the fins, moving them aside for screws to go though them is not that hard."," - Cables are thick, and thus hard to bend; but if you rotate the pump housing during install, they aren't a problem.- I will be returning this and then contacting Corsair to get CORRECT measurements on their other products to see what can fit.",1,9
N82E16835181103,35-181-103,2/12/2017 2:59:17 PM,Kirt B.,H100i v2,5, Works great! keeps my 6700K at about 29C at idle and 44C under load. Fans on low and quiet., N/A, good for the money v2 much better than the original,None,None
9SIA6ZP3RA2165,35-181-100,7/25/2016 10:23:33 PM,Michael R.,Great cooling!,5, -280mm-Quite-Read that you can't mount to the front panel of the Fractal Design R5 but I did it! With some imaginative mounting I got it to fit just fine with no rattle or noise., -None, Make more screw holes for other cases maybe?,None,None
N82E16835181103,35-181-103,2/11/2017 11:18:52 PM,Daniel G.,Poor production standards,1, -Seems like it would work great," -Intel bracket is flimsy-LGA 115x/1366 standoff screws are too long-The thumb screws came with burs on them, that made them near impossible to secure and cannot be fully secured. Only 1 came without burs.",,None,None
9SIA6ZP3RA2165,35-181-100,7/18/2016 7:52:57 PM,Kevin R.,Easy,5, Easy to install into the top of a Cooler Master Storm Trooper case with an Asus X99 Deluxe II motherboard with 20011v3  socket only needed standoffs and thumbscrews to secure the pump to the processor. Sweet. Great performance, none, I had an early hydro series cooler before and it was great too so I'm back for this one with a new PC build.,None,None
N82E16835181103,35-181-103,2/5/2017 9:20:51 AM,Jonathan P.,Great closed loop cooler,5, -Easy installation-Keeps my 6700K @ 4.5ghz at  max of 75C during Prime95 SmallFFP stability testing-Quiet and balanced profiles are very quiet even under medium load, -Tubing is a little stiff but no big deal," I replaced the stock fans with 2x Corsair ML120 fans, the whole thing works perfectly. If you have an Asus motherboard you need to disable completely the CPU fan control in the BIOS so that Corsair Link software works properly.",1,1
9SIA6ZP3RA2165,35-181-100,7/14/2016 5:39:29 PM,Benjamin P.,Corsair Hydro Series H115i,5," -Easy to install and use-Works even better with a push/pull fan configuration. (Fans on both sides; One pushing the air, another pulling the air.)-Ice cold! Even at lower fan speeds"," I didn't like how small the fittings were from the tubing to the radiator, it gives a somewhat flimsy look. This won't cost an egg however because despite the look of the fittings they are actually quite rigid, just a matter of preference."," I bought this as a precursor to a liquid build so I could overclock and save some money for my custom loop. I was actually blown away by the performance of this little guy. I used some 100cfm fans in push/pull and it get cold. This was unnecessary, but I wanted to see what it could do. READY?I-7 6700k 4.7ghz = 55c under 100% load using prime95. Needless to say...I'm shocked!!!!!!!!!!!!!!!!!!!!!!!!!LOVE THIS THING!!!!!!!!!!!",2,2
N82E16835181103,35-181-103,2/4/2017 10:01:28 AM,Anonymous,quiet,4," CPU temps are good, runs super quiet"," The screws to mount the fans to the block could be a tad longer, in this situation i had to mount the fans to the block with the case exterior between. I could only get 4 of 8 to take due to the bushings but that was well enough.",,None,None
9SIA6ZP3RA2165,35-181-100,7/12/2016 6:29:53 PM,Anonymous,Keeps my 6700k Icy,5," I cannot push it past 31c with a 4.5ghz overclock. Incredible. Still need to get the GPU but  I will update my review if it suddenly goes way up. The system looks clean and efficient, and with a bit of work, I mounted in my thermaltake core v71. (I had to move my dvd/CD drive up to the upper drive bay because the pump tubing protrudes slightly and the piping is rather ridged. )Its super quiet in quiet mode and even max fan speed is quieter than my ""jet turbine"" old m14x."," Although quiet, the fans moan at a low speed, which is rather annoying. It makes a noise that sounds like ""mwaaaaaa"" in a low pitch. Not overly bad, but something that is annoying enough I may pop some other fans in just to see if I can alter that."," The LEDs are nice. Be gentle with the metal cooling vent spreader as it can bend. You may need to wiggle it in and bend the tubes a little to fit it into a full tower even. It will smell like fish for a little while but that goes away. This will keep the 6700k super cool, and quiet. Looks very professional and the tubing is very strong. It has a mini usb for the Corsair link software, but you can tuck the wire in-between the valley where the thumbscrews and the cooler header connects to the Mobo, and loop the wire over the back of the motherboard. Cable management is interesting at first since there are about 4 cables coming off the header but you can clean them up nicely.picture: http://imgur.com/50Cqcny",1,1
N82E16835181103,35-181-103,2/4/2017 8:59:54 AM,John M.,"Cools well, backplate design is not good",2," Keeps 7700K 60c or less gaming, under 30 at idle", Backplate designed to be loose after securing standoffs but is so loose pump does not contact CPU correctly. One standofflonger that others so had to add 2 layers of rubber gaskets to backplate screws so proper pump contact is made. Includedfans are super loud. Replaced with Corsair AF120 quiets (4 for push/pull).  Needs another fan splitter for this also," Will probably replace eventually with different cooler. I have been a Corsair fan for many years, put H50's in last 2 builds but it's time to move on",2,2
9SIA6ZP3RA2165,35-181-100,7/11/2016 10:00:05 AM,Christopher R.,Cooling awsome !!!,4, -Simple and reasonably silent-Led adjustable-Cooling effect awsome-Good looking in cases, -Stiff tubing-Board pin weaks... broke one cuz .. no stop feeling when u screw it,,None,None
N82E16835181103,35-181-103,2/2/2017 12:40:13 PM,David M.,"Good Cooling, Stiff tubing",5," - Does an excellent job keeping my i5-7600k cool (idle around 40c)- Pulls a decent amount of air into the case (in the recommended configuration), which in my case cools the ram and north bridge chipset"," - The tubing was very stiff and difficult to get into a workable configuration for my system- fans can be a bit noisy even at low speeds (nothing to bad, a moving air sound)"," As a point of interest the cooler tubing was a bit unruly to work with in a Thermaltake Core X5, (more due to the case than the cooler), but keep in mind the length of the tubing if you have a 'non-standard' case layout like the X5.",2,2
9SIA6ZP3RA2165,35-181-100,7/9/2016 10:31:25 AM,keith b.,Works well!,5, Great cooling performance and it lets you control each of the speeds.  The stock fans are good enough on their own so no worries of needing to replace them., I found it difficult to bend the tubing since it seems to be much longer than needed even when using in an older Cosmos full atx case.,,None,None
N82E16835181103,35-181-103,2/1/2017 9:29:53 PM,Anonymous,Does the job but not perfect,3, It cools my Kaby Lake 7700K decently (not overclocking)," Coming from the H100i v1 I must say that I'm a bit disappointed in the quality of the radiator, pretty much all screw threads were bad and the fans couldn't be secured properly. Also, the bracket installation for the 1151 socket was a hassle and required some research and leap of faith from my part as it was loose before attaching the water block. (not sure if I was just lucky, but it was all snug after tightening the four screws)",,None,None
9SIA6ZP3RA2165,35-181-100,7/9/2016 8:15:38 AM,JEFF B.,Works great!,4, Cools very well., Not silent on quiet mode., I would prefer a silent version.,2,4
N82E16835181103,35-181-103,2/1/2017 4:09:30 PM,Anonymous,Great cooling,5, kept cpu at very low temps," wish you could buy it with shorter tubing, tight fit when putting it in the S340 elite",,None,None
9SIA6ZP3RA2165,35-181-100,7/8/2016 9:57:07 PM,grant m.,"This is a great product, reasonable price and great performance",4, This Corsair Hydro H115i Liquid Cooler is very large and cools the CPU very well.    The cooler was very easy to install into my full tower.    The hoses were flexible enough to easily install onto the CPU.     The cooler is very well made and for the price was well worth every dollar I spent on it.     See other for more details.   I also like the Corsair link to download and it monitors very well and takes care of everything for my computer for the temps and all of the other information helps me to evaluate my system., The fans that came with the cooler are not very good.      They are very loud and noisy when the load is put on the cooler.      I did not like the standard paste that came with it.," I would like to say that for my AMD 9590 CPU it idles about 30-35 C but I have yet to see what max temps it has gone to.      I have changed out  the standard fans and replaced them with 2- Noctua NF-A14 IPPC-2000 IP67 140x140x25 mm case fans and they do not have and loud noises, no vibrations, and is very quiet.   I have replaced the standard CPU paste with Arctic MX-4 paste from the 20 g tube and has lowered the temps with this paste.   I have also used the paste on my video cards and I have also notice lower temps on the cards but I am not sure how much it has lowered them by but at idle the temps are around 28-31 C.       This is a big cooler so if anyone has any trouble with installing this into a case is because they have not done the research into building a proper system.     To those of you that has had trouble with installation of the cooler or has had complaints about the rigid tubing or about the Corsair Link then I suggest you look at the bigger picture and to ask yourselves - does the cooler do the JOB?      I would have all of you do more reading and studying how the software and hardware of the computer when you build your systems.      The other problem I have is with those INTEL people want to have a freezer on their systems to cool their CPU's is plain wasting their money.    I would like to introduce you to my system that I have right now but will upgrade my video cards, monitor and gaming keyboard to make a faster system.Cooler Master Gaming Storm Trooper Full Tower CaseASUS CrossHair V Formula Z MotherboardUltra X-4 1000 Watt modular power supply32 GB 2400 AMD Radeon R9 Gamer Series memory3- XFX R9 270X 2GB Video cards crossfire - ( total of 6GB of video performance)1- SSD AMD Radeon 450 GB drive1- SSD Samsung 240 GB drive2- LG Multi Disc drives for mediareplaced 1 case fan with a 140 mm Noctura fanadded 2 - 120 mm Noctura case fansWindows 10 PRO 64 bit software32"" VIZIO 60 HZ TV with HDMI sound with a VIZIO 2.0 sound barLogitech Gaming mouse - G402Logitech K260 KeyboardCorsair gaming mouse pad - 3' x 1'AMD 9590 CPU Processor - 8 CoresARCTIC MX-4 Thermal Compound from 20g tube1- media dashboard for all of my needs1- Anti Virus Program1- Malwarebytes for taking care of any Malware1- Office Home and Student 20161- HP Photosmart 5520 All in One Printer1- Cyberlink 14 suite for movies and media1- external Seagate 500 GB hard drive for backups and misc dataI have tried to put together a system for me that I can play different video games on as well as for Office use- Word, Powerpoint and other programs, Geneology, bill paying and all assorted multifunctions to suit my needs.       I am a NOVICE computer builder and have built about 6-8 systems.      I can work my way around software as well as hardware problems.      I have learned through the years that if something goes wrong I am probably the one the messed it up.     I have said that I can always start over by rebooting the system or to wipe the hard drive clean and start again.     I try to give as much info to let the NOVICE builders a chance to understand what is going on.     With this Corsair Cooler, Noctua fans and the ARCTIC MX-4 thermal paste I have found my system is cool, quiet with less temps than before at max output with Crysis on highest settings playing for about 4-5 hours at least with very little noise,  cool temps compared to before using a Corsair Hydro H105 Liquid Cooler I think I have dropped probably at least 20-30 C.     I have only dropped 1 EGG due to the fact of the poor performance of the fans that come with the cooler.       I want to say this is the best cooler I have yet for the beast of the processor - this Corsair Hydro H115i Cooler is a beast and has cooled my system to my liking.",1,5
N82E16835181103,35-181-103,1/28/2017 12:40:42 PM,Trevor S.,Purchased 9/12/2016 Pump failed on 1/28/2017,1, -Great when it was working-Corsair Link seems alright, -0 Pump RPM and temps are climbing up to 100 Degrees C at idle," - I've had corsair RAM, a PSU and now this watercooler fail on me now. It's a shame that they seem to be going downhill.",2,4
9SIA6ZP3RA2165,35-181-100,7/2/2016 8:47:29 PM,Anonymous,It Works,4, - Great looking braided cables- Nice looking water block- Customizable LED color- Very Easy installation- Corsair link capable model- Keeps the CPU about as cool as can be without some extreme custom setup,"  - Fans at max RPM sound like turbine engines.  They are REALLY loud and can be heard from other rooms.  (more on this below)- The Corsair link USB cable is put in a dumb position forcing you to have to route the cable all the way around the water block.  Fix this in the next model, Corsair."," This is the same exact unit as the H110i GTX Extreme.  Corsair has simply slapped new model numbers on their line in 2016.  (This information comes directly from Corsair).  So anything you've seen or read about the ""H110i GTX Extreme"" model will apply to this.While the fans are loud at max RPM, the good news is it is not necessary to run them there ever.  I have seen reviews from tech websites that suggest a 3-5 degree improvement from running them at max.  My own experience is in line with this.  I will gladly take a 3 degree increase in temps for silence because either way I am well under Intel's suggested max operating temperature.  I run my own customized fan curve, but even with the ""quiet"" preset, the cooling is far superior to most air coolers. BENCHMARKS:CPU: i5-6600k overclocked to 4.5 Ghz @ 1.26Stress Software: Prime95 28.9.1 large FFT (AVX instructions)Ambient (room) temperature: 75°F (23.8°C)Fan setting: QuietThermal paste: Noctua-NT-H1RESULT AFTER 10 MINUTES:CPU Package Temp: 80°C Delta over ambient =  57.2°CWater temp: 38°CAIDA64 Stress Test:Result:  57°CDelta over ambient: 33.2°CCONCLUSION:As you can see, these numbers are very good.  Prime95 (newer versions) use AVX instructions which are known to make Intel CPU's burning hot.  If I didn't have a water cooler, I wouldn't bother with Prime95.  The only way you'll see better temperatures than what this unit offers is with a full custom water loop (get ready to spend about $500) and even then a custom loop won't get you much better temps.  The price to performance of a good CLC like this one is much better than a custom loop.  Custom loops perform slightly better but they are NOT worth the money if performance is all you care about.  This is especially true if all you want to cool with water is your CPU (if you need to liquid cool multiple graphics cards, then a custom loop is really the only option).  If you are an enthusiast and someone who likes to trick out their PC for aesthetic reasons, then sure go right ahead with your custom loops.  My only point here is that a high-end CLC is just as good at cooling a CPU as any other solution.  This unit will also outperform all air coolers on the market including the Noctua DH-15's.  It won't be a huge difference, but you will see a couple degree improvement all the while getting a much more aesthetically pleasing look.  Some people may like hanging a huge chunk of metal off their CPU (that makes removing your RAM impossible), but I don't.  I prefer to hide that chunk of metal away in my case as you can do with these CLC radiators.And finally, I would like to make a quick note about the thermal paste that comes on the cold plate of this unit.  It is very good.  I used it for a while and ran numerous tests.  I then swapped out that paste for my own (Noctua-NT-H1 which is one of the best pastes on the market).  I then ran the same tests and noticed the temperatures were exactly the same to the degree.  So, in my opinion, don't even bother buying new paste for this unit.  If you have some laying around and want to use it, sure.  But don't run out and buy some more.  The paste on this unit is very good.",8,8
N82E16835181103,35-181-103,1/27/2017 3:47:46 PM,Anonymous,Keeping it Cool,5," - Installed with z270x Gigabyte Gaming 7 and Kaby Lake I7-7700K.  Easily overclocked to 5ghz with 1.35 vcore.  - Under heavy load never exceeding 70C,   usually temps are in the 30's- Runs quiet", - Had to get creative and use a spacer to secure the back plate to the motherboard as there was a lot of play., - Installing any water cooler with a large radiator is a little bit of work but very happy with cooling performance of the Corsair.,1,1
9SIA6ZP3RA2165,35-181-100,6/29/2016 12:02:17 PM,Darrin D.,Keeps cool and quiet... only one complaint,4, Keeps my 6700k nice and cool while its over clocked to 4.8 Ghz," The bracket for the 6700k, LGA 1151, was plastic... and in the directions they do not mention that when first mounting the back bracket that the bolts will not be tight. I thought this was a mistake as they wiggled and I nearly broke it when over tightening.So when you install the LGA1151 bracket BE AWARE THAT IT WILL BE LOOSE AND WIGGLE. It will tighten when you finally put the whole thing together."," I did replace the original fans, so I cannot comment on how loud the originals are. Sorry.You need a lot of room for this baby, I knew that going in, so I got a case that could handle it. I wouldn't consider this a con. Just be aware.i7 6700K, Asus ROG Maximus VIII Hero Alpha Motherboard, ASUS STRIX 980ti x2 in SLI, 16GB DDR4 @ 3200Mhz, Samsung EVO 850 500GB SSD, WB Black 5TB HDD, LG Bluray Burner, Corsair HX1200i PSU, Corsair H115i Liquid CPU Cooler, Corsair 750D Airflow Edition Case outfitted with Noctua 140mm 2000RPM fans. Win 10 Home.",2,2
N82E16835181103,35-181-103,1/25/2017 8:02:23 AM,Anonymous,What's cooler than being cool?,5," Ice cold!I've got this on a 6600k at stock speeds, and I could probably leave the fans at lowest setting with no threat to temperatures."," A little weird to fit in my Corsair 88r, but it seems right at home where it is.I wish the Corsair Link connector could be moved because it's kinda sticking out the bottom like a dead fish.I managed the cable pretty well, but I'm also a bit crazy for that."," Great cooler.  Whisper quiet.Corsair Link software is pretty cool to configure.Remember this is a liquid cooler, so pump noises are normal.",None,None
9SIA6ZP3RA2165,35-181-100,6/27/2016 9:54:00 AM,B N.,Perfect cooling solution,5, Easy to installKeeps my processor nice and cool, The Stock fans are noisy at higher RPM'sThe fan cable and USB link cable could be a tad longer for better cable management options, Once you replace the stock fans this beast is quiet and cool.,2,2
N82E16835181103,35-181-103,1/22/2017 2:10:55 PM,Anonymous,First time using water cooling,5," So after using this cooler for a bit, I have to say I won't be using air cooling again. At idle its keeping my OCed 6600K @ 4.4GHz around 20-21 degrees. Highest it gets on load is 44 degrees. I can see why it's one of the best water coolers out right now. Would buy again."," Only thing is, when I received it, manual said it has 16 washers, but I got none. Contacted Corsair, and thought they sent my washers but sent a fan, when I said I need washers. RMA was horrible. Wasn't impressed especially when people say they their RMA is one of the best.",,None,None
9SIA6ZP3RA2165,35-181-100,6/24/2016 3:17:41 PM,Anonymous,Cool and quiet!,5, CPU stays under 40C - 6700K @ 4.0GHz. Easy to install if your case has space for it., It's too sexy for my case.," I price is pretty awesome too,",0,2
N82E16835181103,35-181-103,1/21/2017 12:55:31 AM,Mark B.,Corsair H100i V2,5," I decided to wait a few months before writing a review to make sure it worked properly.  As of now, I've had the cooler for 4 months without any hiccups (hopefully I don't jinx myself lol).  Like most, I've tinkered with different placements in my case, tried different fan mounting options, etc.  After 4 months of using and abusing it, I've come to the conclusion that this is a solid AIO.  - First off, this thing keeps my CPU pretty chilly, even under the harshest of loads.  I do a fair amount of video editing and after an hour of rendering (4K with color correction), it barely creeps above 60c without having the fans run at max RPM. I have my fan curve to run around 1800-2000rpm at the most.  - Like most, I try to keep my rig as quiet as possible, so my fans don't even ramp up until 50-55c.  Currently my fans are running at 840rpm and my cpu is idling between 27c-31c.  Not too bad for a somewhat overclocked CPU.- With the most important part out of the way (performance), I have to say this cooler looks pretty spiffy as well.  The RGB option is pretty awesome.  If you have a case with a side panel and you're shooting for a particular color scheme, the RGB will help you to like it even more."," Most of these are just me nit picking and aren't worth deducting an egg.- First and foremost, the fans can get pretty loud at full RPM (almost all fans do, so it's to be expected).  If it sounds like a swarm of bumblebees are sitting next to you after hooking it up, I recommend downloading Corsair Link and setting up a profile.  You can mess with the presets, but even those are a bit loud, even if you're just browsing the web and not doing anything to stress your CPU.- Next, I wish the silver strip on the side of the radiator was detachable so I could set it upright.  OCD fits, man lol.  My hoses were touching my exhaust fan, so I flipped my radiator (the hoses are now on the right side).  Once flipped, the silver strip on the radiator that says Corsair is upside down.  Once again, nothing serious, just nit picking."," Couple of things I've learned along the way.- One of the most important things you can do with this cooler is become familiar with the Corsair Link software.  For the first month I had my cooler, I made the noob mistake when configuring my fan curve of grouping it with the H100i pump.  I won't say don't do that, but if you feel the need, make a separate profile for it and focus on the CPU.  Make sure when messing with your fan curve to group it with the CPU Package.  For the first month I had it, I was a little disappointed, as I was still hitting 70-72c.  Not terrible, but definitely nothing to brag about.  The moment I set my fan curve to group with  the CPU Package and not the H100i pump, my temps went from 72c to 62c (62c with the fans still RARELY hitting 2000rpm).  The fan curve is crucial to obtaining the performance you're seeking and something you'll just have to play with and figure out what works best for you.  All in all, this cooler is solid.  The fans are solid, they're just loud above 1800rpm.  Do I regret buying this? No.  Would I recommend it to someone? Absolutely.  Best of luck to you on your hunt to building your dream PC =DMy PC Specs:i7-5820k @ 4.3ghz 1.185v 64gb DDR4 2800mhz Samsung 950 Pro M.2 256gb SSDGtx 960 4gb (DON'T LAUGH! I'm upgrading in a matter of weeks and I'm superrr excited lolol)Phanteks Enthoo Evolv Tempered Glass Cheers!",3,3
9SIA6ZP3RA2165,35-181-100,6/21/2016 1:32:29 PM,Anonymous,Great cooler but missing some features,3, Cools my 6700k like a champ," I also have the H100i and that unit has multiple fan controllers and better RBG LED customization. I was a little upset that the h115i did not have the same features as the h100i. The H115i lacks the ability to cycle RBG leds and it does no blend colors. It only goes from one solid color to the next. I wish the corsair can make a firmware update to enable this ability like the h100i has. If so, I will update and give 4 eggs.",,1,8
N82E16835181103,35-181-103,1/19/2017 6:24:48 AM,Matthieu V.,orsair Hydro Series H100i V2 Extreme Performance Water / Liquid CPU Cooler. 240mm (CW-9060025-WW),3, Cools very efficiantly, Leaking a tiny drop of water every few hours.... im guessing this is a Major issue that i wasn't expecting to have. Hoping on condensation but I have my doubts this is a flaw...," Unsure at all, this is my first cooler and its been over 3 weeks I have the cooler and only noticed this morning due to Error E0 poping on my mobo. THEN i noticed the water drip.",1,1
